DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO. OF  TRADES
10-Oct-25	EQ	"2,014.60"	"2,026.00"	"2,001.20"	"2,014.60"	"2,008.50"	"2,004.30"	"2,010.56"	"2,135.00"	"1,551.65"	772401	"1,55,29,57,818.30"	48155
09-Oct-25	EQ	"2,013.60"	"2,025.90"	"2,005.00"	"2,013.60"	"2,012.00"	"2,014.60"	"2,014.95"	"2,135.00"	"1,551.65"	437357	"88,12,53,101.20"	40764
08-Oct-25	EQ	"2,031.50"	"2,038.20"	"2,005.00"	"2,032.60"	"2,010.20"	"2,013.60"	"2,018.26"	"2,135.00"	"1,551.65"	369526	"74,58,00,874.30"	35066
07-Oct-25	EQ	"2,038.70"	"2,056.40"	"2,029.00"	"2,033.20"	"2,030.00"	"2,032.60"	"2,042.25"	"2,135.00"	"1,551.65"	641471	"1,31,00,42,108.30"	52239
06-Oct-25	EQ	"1,996.10"	"2,042.20"	"1,995.10"	"2,000.90"	"2,031.10"	"2,033.20"	"2,026.59"	"2,135.00"	"1,551.65"	821515	"1,66,48,74,662.30"	43273
03-Oct-25	EQ	"2,016.50"	"2,017.00"	"1,968.00"	"2,007.00"	"1,994.20"	"2,000.90"	"1,987.60"	"2,135.00"	"1,551.65"	789048	"1,56,83,11,322.20"	50999
01-Oct-25	EQ	"2,008.90"	"2,014.00"	"1,979.50"	"2,006.40"	"2,010.00"	"2,007.00"	"1,999.01"	"2,135.00"	"1,551.65"	683568	"1,36,64,60,005.10"	53408
30-Sep-25	EQ	"2,025.00"	"2,036.40"	"2,001.00"	"2,024.70"	"2,001.00"	"2,006.40"	"2,012.05"	"2,135.00"	"1,551.65"	924425	"1,85,99,86,959.30"	84927
29-Sep-25	EQ	"2,007.90"	"2,031.00"	"1,994.90"	"2,003.20"	"2,012.00"	"2,024.70"	"2,016.37"	"2,135.00"	"1,551.65"	2005041	"4,04,29,04,423.70"	66226
26-Sep-25	EQ	"2,040.00"	"2,047.50"	"1,996.10"	"2,035.60"	"2,003.00"	"2,003.20"	"2,009.74"	"2,135.00"	"1,551.65"	754739	"1,51,68,31,455.40"	42852
25-Sep-25	EQ	"2,069.20"	"2,074.00"	"2,032.40"	"2,069.20"	"2,033.00"	"2,035.60"	"2,047.93"	"2,135.00"	"1,551.65"	952122	"1,94,98,77,784.00"	51653
24-Sep-25	EQ	"2,084.10"	"2,088.80"	"2,062.90"	"2,084.40"	"2,070.10"	"2,069.20"	"2,074.11"	"2,135.00"	"1,551.65"	602541	"1,24,97,38,349.30"	40071
23-Sep-25	EQ	"2,068.00"	"2,092.00"	"2,068.00"	"2,069.50"	"2,084.00"	"2,084.40"	"2,083.27"	"2,135.00"	"1,551.65"	1177350	"2,45,27,32,948.10"	62377
22-Sep-25	EQ	"2,067.30"	"2,082.00"	"2,062.30"	"2,067.30"	"2,068.60"	"2,069.50"	"2,073.74"	"2,135.00"	"1,551.65"	633360	"1,31,34,22,659.80"	39340
19-Sep-25	EQ	"2,069.00"	"2,077.20"	"2,053.70"	"2,069.20"	"2,070.50"	"2,067.30"	"2,065.57"	"2,135.00"	"1,551.65"	1973991	"4,07,74,18,828.20"	58929
18-Sep-25	EQ	"2,066.00"	"2,075.00"	"2,045.00"	"2,057.00"	"2,064.50"	"2,069.20"	"2,060.95"	"2,135.00"	"1,551.65"	904666	"1,86,44,72,201.30"	65759
17-Sep-25	EQ	"2,088.00"	"2,090.00"	"2,054.90"	"2,080.30"	"2,060.00"	"2,057.00"	"2,068.21"	"2,135.00"	"1,551.65"	1199866	"2,48,15,74,037.90"	54269
16-Sep-25	EQ	"2,085.00"	"2,104.90"	"2,077.60"	"2,080.00"	"2,082.00"	"2,080.30"	"2,087.34"	"2,135.00"	"1,551.65"	928203	"1,93,74,72,110.00"	45547
15-Sep-25	EQ	"2,078.00"	"2,097.00"	"2,068.00"	"2,081.50"	"2,080.80"	"2,080.00"	"2,084.02"	"2,135.00"	"1,551.65"	1014957	"2,11,51,93,935.60"	43617
12-Sep-25	EQ	"2,036.10"	"2,089.00"	"2,034.30"	"2,037.80"	"2,083.20"	"2,081.50"	"2,065.99"	"2,135.00"	"1,551.65"	1546838	"3,19,57,51,787.70"	59107
11-Sep-25	EQ	"2,038.00"	"2,048.80"	"2,028.40"	"2,038.20"	"2,037.00"	"2,037.80"	"2,036.14"	"2,135.00"	"1,551.65"	720797	"1,46,76,42,658.80"	32743
10-Sep-25	EQ	"2,035.10"	"2,047.00"	"2,026.60"	"2,025.30"	"2,038.00"	"2,038.20"	"2,037.36"	"2,135.00"	"1,551.65"	927634	"1,88,99,26,548.80"	47845
09-Sep-25	EQ	"2,012.00"	"2,039.00"	"2,012.00"	"2,008.40"	"2,026.60"	"2,025.30"	"2,027.75"	"2,135.00"	"1,551.65"	1240640	"2,51,57,03,779.60"	57275
08-Sep-25	EQ	"2,014.40"	"2,026.40"	"2,006.10"	"2,014.40"	"2,010.00"	"2,008.40"	"2,015.81"	"2,135.00"	"1,551.65"	338055	"68,14,54,917.40"	20407
05-Sep-25	EQ	"2,013.90"	"2,023.80"	"2,002.10"	"2,002.20"	"2,015.00"	"2,014.40"	"2,012.62"	"2,135.00"	"1,551.65"	1077230	"2,16,80,56,702.50"	61481
04-Sep-25	EQ	"1,985.00"	"2,033.80"	"1,971.00"	"1,966.10"	"2,003.00"	"2,002.20"	"2,013.07"	"2,135.00"	"1,551.65"	2459026	"4,95,01,97,155.00"	144259
03-Sep-25	EQ	"1,950.00"	"1,972.00"	"1,950.00"	"1,955.90"	"1,971.00"	"1,966.10"	"1,960.19"	"2,135.00"	"1,551.65"	934230	"1,83,12,65,736.50"	60667
02-Sep-25	EQ	"1,945.00"	"1,958.70"	"1,938.60"	"1,943.50"	"1,957.00"	"1,955.90"	"1,950.90"	"2,135.00"	"1,551.65"	907972	"1,77,13,62,408.80"	68390
